ticker,announcement_date,timing_class,entry_date,exit_date,signal,position_dir,entry_price,exit_price,holding_period_days,gross_return,transaction_cost,net_return,market_return,abnormal_return
JPM,2021-04-14,BMO,2021-04-14,2021-04-21,1,1.0,151.21,150.54,5,-0.004431,0.002,-0.006431,0.011229,-0.01566
BAC,2021-04-15,UNKNOWN,2021-04-16,2021-04-23,1,1.0,39.15,39.18,5,0.000766,0.002,-0.001234,-0.001246,0.002013
GOOGL,2021-04-27,AMC,2021-04-28,2021-05-05,1,1.0,117.95,115.74,5,-0.018766,0.002,-0.020766,-0.003953,-0.014813
META,2021-04-28,AMC,2021-04-29,2021-05-06,1,1.0,329.51,320.02,5,-0.0288,0.002,-0.0308,-0.002357,-0.026444
AAPL,2021-04-28,AMC,2021-04-29,2021-05-06,1,1.0,133.48,129.74,5,-0.028019,0.002,-0.030019,-0.002357,-0.025662
AMZN,2021-04-29,AMC,2021-04-30,2021-05-07,1,1.0,173.37,164.58,5,-0.050703,0.002,-0.052703,0.01155,-0.062254
CVX,2021-04-30,BMO,2021-04-30,2021-05-07,-1,-1.0,103.07,110.02,5,-0.06743,0.002,-0.06943,0.01155,-0.055879
WMT,2021-05-18,BMO,2021-05-18,2021-05-25,1,1.0,47.3,47.45,5,0.00303,0.002,0.00103,0.015293,-0.012263
BAC,2021-07-14,BMO,2021-07-14,2021-07-21,1,1.0,38.86,38.46,5,-0.010293,0.002,-0.012293,-0.003874,-0.006419
AAPL,2021-07-27,AMC,2021-07-28,2021-08-04,1,1.0,144.98,146.95,5,0.013588,0.002,0.011588,0.000342,0.013246
GOOGL,2021-07-27,AMC,2021-07-28,2021-08-04,1,1.0,136.09,135.13,5,-0.007116,0.002,-0.009116,0.000342,-0.007458
AMZN,2021-07-29,AMC,2021-07-30,2021-08-06,1,1.0,166.38,167.25,5,0.005214,0.002,0.003214,0.009076,-0.003862
NVDA,2021-08-18,AMC,2021-08-19,2021-08-26,-1,-1.0,19.8,22.07,5,-0.114658,0.002,-0.116658,0.01455,-0.100108
AAPL,2021-10-28,AMC,2021-10-29,2021-11-05,-1,-1.0,149.8,151.28,5,-0.00988,0.002,-0.01188,0.020207,0.010327
AMZN,2021-10-28,AMC,2021-10-29,2021-11-05,-1,-1.0,168.62,175.95,5,-0.043458,0.002,-0.045458,0.020207,-0.023251
CVX,2021-10-29,BMO,2021-10-29,2021-11-05,1,1.0,114.49,114.74,5,0.002184,0.002,0.000184,0.020207,-0.018023
CVX,2022-01-28,BMO,2022-01-28,2022-02-04,-1,-1.0,130.61,135.88,5,-0.040349,0.002,-0.042349,0.015273,-0.025076
META,2022-02-02,AMC,2022-02-03,2022-02-10,-1,-1.0,237.76,228.07,5,0.040755,0.002,0.038755,0.00609,0.046846
AMZN,2022-02-03,AMC,2022-02-04,2022-02-11,1,1.0,157.64,153.29,5,-0.027569,0.002,-0.029569,-0.018364,-0.009205
JPM,2022-04-13,BMO,2022-04-13,2022-04-21,-1,-1.0,127.3,130.56,5,-0.025609,0.002,-0.027609,-0.011843,-0.037451
GOOGL,2022-04-26,AMC,2022-04-27,2022-05-04,-1,-1.0,114.29,122.26,5,-0.069702,0.002,-0.071702,0.028255,-0.041446
AMZN,2022-04-28,AMC,2022-04-29,2022-05-06,-1,-1.0,124.28,114.77,5,0.076512,0.002,0.074512,-0.001602,0.07491
XOM,2022-04-29,BMO,2022-04-29,2022-05-06,-1,-1.0,85.25,91.69,5,-0.075543,0.002,-0.077543,-0.001602,-0.077145
CVX,2022-04-29,BMO,2022-04-29,2022-05-06,-1,-1.0,156.67,170.69,5,-0.089487,0.002,-0.091487,-0.001602,-0.091089
WMT,2022-05-17,BMO,2022-05-17,2022-05-24,-1,-1.0,43.78,41.38,5,0.054968,0.002,0.052968,-0.03534,0.019628
JPM,2022-07-14,BMO,2022-07-14,2022-07-21,-1,-1.0,108.0,115.32,5,-0.067778,0.002,-0.069778,0.055251,-0.012527
BAC,2022-07-18,BMO,2022-07-18,2022-07-25,-1,-1.0,32.26,33.73,5,-0.045567,0.002,-0.047567,0.035659,-0.009908
GOOGL,2022-07-26,AMC,2022-07-27,2022-08-03,-1,-1.0,113.06,118.08,5,-0.044401,0.002,-0.046401,0.033438,-0.010963
MSFT,2022-07-26,AMC,2022-07-27,2022-08-03,-1,-1.0,268.74,282.47,5,-0.05109,0.002,-0.05309,0.033438,-0.017652
META,2022-07-27,AMC,2022-07-28,2022-08-04,-1,-1.0,160.72,170.57,5,-0.061287,0.002,-0.063287,0.019947,-0.041339
AMZN,2022-07-28,AMC,2022-07-29,2022-08-05,-1,-1.0,134.95,140.8,5,-0.043349,0.002,-0.045349,0.003592,-0.039757
NVDA,2022-08-24,AMC,2022-08-25,2022-09-01,-1,-1.0,17.91,13.94,5,0.221962,0.002,0.219962,-0.05504,0.166921
COST,2022-09-22,AMC,2022-09-23,2022-09-30,-1,-1.0,466.4,472.27,5,-0.012586,0.002,-0.014586,-0.02927,-0.041856
GOOGL,2022-10-25,AMC,2022-10-26,2022-11-02,-1,-1.0,94.93,86.97,5,0.083851,0.002,0.081851,-0.018716,0.065135
META,2022-10-26,AMC,2022-10-27,2022-11-03,-1,-1.0,97.94,88.91,5,0.092199,0.002,0.090199,-0.023607,0.068593
AMZN,2022-10-27,AMC,2022-10-28,2022-11-04,1,1.0,103.41,90.98,5,-0.120201,0.002,-0.122201,-0.032569,-0.087632
NVDA,2022-11-16,AMC,2022-11-17,2022-11-25,-1,-1.0,15.68,16.27,5,-0.037826,0.002,-0.039826,0.02052,-0.017306
COST,2022-12-08,AMC,2022-12-09,2022-12-16,-1,-1.0,483.02,461.45,5,0.044656,0.002,0.042656,-0.025453,0.019204
MSFT,2023-01-24,AMC,2023-01-25,2023-02-01,-1,-1.0,240.61,252.75,5,-0.050455,0.002,-0.052455,0.026102,-0.024353
CVX,2023-01-27,BMO,2023-01-27,2023-02-03,-1,-1.0,179.45,169.45,5,0.055726,0.002,0.053726,0.016442,0.072167
META,2023-02-01,AMC,2023-02-02,2023-02-09,-1,-1.0,188.77,177.92,5,0.057477,0.002,0.055477,-0.02325,0.034228
AMZN,2023-02-02,AMC,2023-02-03,2023-02-10,-1,-1.0,103.39,97.61,5,0.055905,0.002,0.053905,-0.010452,0.045453
GOOGL,2023-02-02,AMC,2023-02-03,2023-02-10,-1,-1.0,104.78,94.57,5,0.097442,0.002,0.095442,-0.010452,0.08699
AAPL,2023-02-02,AMC,2023-02-03,2023-02-10,-1,-1.0,154.5,151.01,5,0.022589,0.002,0.020589,-0.010452,0.012137
