gross_return,transaction_cost,net_return,turnover,long_exposure,short_exposure,gross_exposure,net_exposure,benchmark_return,cumulative_gross,cumulative_net,cumulative_benchmark
0.0007109285119229436,0.0,0.0007109285119229436,0.0,0.0,0.04,0.04,-0.04,0.0014860148491766534,0.0002868993971048006,0.00020687891626169908,0.039299540983876335
0.0003022079759978125,2e-05,0.0002822079759978125,0.02,0.0,0.04,0.04,-0.04,0.0020582420942900637,0.0005891940763886883,0.0004891452751398795,0.04143867104770571
0.0014742844646024422,2e-05,0.0014542844646024422,0.02,0.0,0.06,0.06,-0.06,-0.009075753999901792,0.0020643471806647273,0.001944141096116736,0.031986829863292154
0.0003075512360392874,0.0001,0.0002075512360392874,0.1,0.02,0.06,0.08,-0.039999999999999994,-0.00539886784123178,0.0023725333092310397,0.0021520958410436997,0.026415269354968407
0.0013116753268086457,0.0,0.0013116753268086457,0.0,0.08,0.02,0.1,0.06,0.00794842909462723,0.0036873206294434357,0.0034665940188678412,0.034573658345079084
-0.0015017912688125535,0.0,-0.0015017912688125535,0.0,0.08,0.02,0.1,0.06,-0.008703166552722852,0.002179991774704293,0.0019595966494252437,0.025569591485442134
0.00012012278095047792,2e-05,0.00010012278095047792,0.02,0.08,0.02,0.1,0.06,-0.005578236005264525,0.0023003764223290535,0.0020599156306417843,0.019848722264313556
-0.00020664653905544395,2e-05,-0.00022664653905544394,0.02,0.08,0.0,0.08,0.08,-0.00019507968979282087,0.0020932545184473295,0.001832802218837859,0.019649770491938723
0.0006444631070467155,6e-05,0.0005844631070467155,0.06,0.06,0.0,0.06,0.06,0.003659072037534017,0.002739066650804922,0.002418336531163856,0.023380742455223702
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008263570286630717,0.002739066650804922,0.002418336531163856,0.024226420324749975
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01243381206558225,0.002739066650804922,0.002418336531163856,0.036961459147671905
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009354746830369964,0.002739066650804922,0.002418336531163856,0.02726094722449446
